2026-03-02 17:12:25,165 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:12:25,165 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:12:25,165 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:12:25,168 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:12:45,820 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:12:45,820 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:12:46,057 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:12:46,057 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:12:46,058 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:12:46,058 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:12:46,058 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:29:45,087 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:29:45,087 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:29:45,258 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:29:45,258 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:29:45,258 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:29:45,258 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:29:45,258 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:30:38,594 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:30:38,596 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:30:38,764 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:30:38,764 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:30:38,764 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:30:38,764 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:30:38,764 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:30:40,035 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:30:40,035 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:30:40,207 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:30:40,208 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:30:40,208 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:30:40,208 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:30:40,208 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:30:46,129 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:30:46,129 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:30:46,391 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:30:46,391 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:30:46,391 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-03-02 17:30:46,391 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-03-02 17:30:46,391 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-03-02 17:34:06,925 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-03-02 17:34:06,927 | INFO | [INICIO]: Backup de Flujo NiFi
2026-03-02 17:34:07,518 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-03-02 17:34:07,518 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-03-02 17:34:07,518 | WARNING | El backup falló. Intentando continuar con el último backup local...
